acarpellé,acarpellés,acarpellée,acarpellées
acatalecte,acatalectes,acatalecte,acatalectes
acatalectique,acatalectiques,acatalectique,acatalectiques
acataleptique,acataleptiques,acataleptique,acataleptiques
acatène,acatènes,acatène,acatènes
acaule,acaules,acaule,acaules
accablant,accablants,accablante,accablantes
accablé,accablés,accablée,accablées
accalminé,accalminés,accalminée,accalminées
accaparant,accaparants,accaparante,accaparantes
accapareur,accapareurs,accapareuse,accapareuses
accastillant,accastillants,accastillante,accastillantes
accentuable,accentuables,accentuable,accentuables
accentuel,accentuels,accentuelle,accentuelles
accentué,accentués,accentuée,accentuées
acceptable,acceptables,acceptable,acceptables
acceptant,acceptants,acceptante,acceptantes
accepteur,accepteurs,,
accepté,acceptés,acceptée,acceptées
accessible,accessibles,accessible,accessibles
accessoire,accessoires,accessoire,accessoires
accidentel,accidentels,accidentelle,accidentelles
accidentogène,accidentogènes,accidentogène,accidentogènes
accidentologique,accidentologiques,accidentologique,accidentologiques
accidenté,accidentés,accidentée,accidentées
accipitrin,accipitrins,accipitrine,accipitrines
acclimatable,acclimatables,acclimatable,acclimatables
accolé,accolés,accolée,accolées
accombant,accombants,accombante,accombantes
accommodable,accommodables,accommodable,accommodables
accommodant,accommodants,accommodante,accommodantes
accommodateur,accommodateurs,accommodatrice,accommodatrices
accommodatice,accommodatices,accommodatice,accommodatices
accommodé,accommodés,accommodée,accommodées
accompagnateur,accompagnateurs,accompagnatrice,accompagnatrices
accompagné,accompagnés,accompagnée,accompagnées
accompli,accomplis,accomplie,accomplies
accordable,accordables,accordable,accordables
accordé,accordés,accordée,accordées
accore,accores,accore,accores
accorné,accornés,accornée,accornées
accort,accorts,accorte,accortes
accostable,accostables,accostable,accostables
accoudé,accoudés,accoudée,accoudées
accouplé,accouplés,accouplée,accouplées
accoutumé,accoutumés,accoutumée,accoutumées
accrescent,accrescents,accrescente,accrescentes
accro,accros,accro,accros
accrocheur,accrocheurs,accrocheuse,accrocheuses
accroché,accrochés,accrochée,accrochées
accru,accrus,accrue,accrues
accréditaire,accréditaires,accréditaire,accréditaires
accréditant,accréditants,accréditante,accréditantes
accréditif,accréditifs,accréditive,accréditives
accrédité,accrédités,accréditée,accréditées
accrété,accrétés,accrétée,accrétées
accueillant,accueillants,accueillante,accueillantes
acculturatif,acculturatifs,acculturative,acculturatives
accumulateur,accumulateurs,accumulatrice,accumulatrices
accumulatif,accumulatifs,accumulative,accumulatives
accumulé,accumulés,accumulée,accumulées
accusable,accusables,accusable,accusables
accusateur,accusateurs,accusatrice,accusatrices
accusatif,accusatifs,accusative,accusatives
accusatoire,accusatoires,accusatoire,accusatoires
accusé,accusés,accusée,accusées
accélérateur,accélérateurs,accélératrice,accélératrices
accéléré,accélérés,accélérée,accélérées
acellulaire,acellulaires,acellulaire,acellulaires
acerbe,acerbes,acerbe,acerbes
acescent,acescents,acescente,acescentes
achalandé,achalandés,achalandée,achalandées
acharite,acharites,acharite,acharites
acharné,acharnés,acharnée,acharnées
acheminable,acheminables,acheminable,acheminables
achetable,achetables,achetable,achetables
acheuléen,acheuléens,acheuléenne,acheuléennes
achevable,achevables,achevable,achevables
achevé,achevés,achevée,achevées
achilléen,achilléens,achilléenne,achilléennes
acholurique,acholuriques,acholurique,acholuriques
achondroplasique,achondroplasiques,achondroplasique,achondroplasiques
achromateux,achromateux,achromateuse,achromateuses
achromatique,achromatiques,achromatique,achromatiques
achromatope,achromatopes,achromatope,achromatopes
achromatopsique,achromatopsiques,achromatopsique,achromatopsiques
achrome,achromes,achrome,achromes
achromique,achromiques,achromique,achromiques
achéen,achéens,achéenne,achéennes
achéménide,achéménides,achéménide,achéménides
achérontique,achérontiques,achérontique,achérontiques
aciculaire,aciculaires,aciculaire,aciculaires
acide,acides,acide,acides
acidifiable,acidifiables,acidifiable,acidifiables
acidifiant,acidifiants,acidifiante,acidifiantes
acidimétrique,acidimétriques,acidimétrique,acidimétriques
acidiphile,acidiphiles,acidiphile,acidiphiles
acido\-basique,,acido\-basique,
acido\-résistant,,,
acidocétosique,acidocétosiques,acidocétosique,acidocétosiques
acidophile,acidophiles,acidophile,acidophiles
acidulé,acidulés,acidulée,acidulées
acineux,acineux,acineuse,acineuses
aciniforme,aciniformes,aciniforme,aciniformes
acinétique,acinétiques,acinétique,acinétiques
aciéreux,aciéreux,aciéreuse,aciéreuses
aciéré,aciérés,aciérée,aciérées
aclinal,aclinaux,aclinale,aclinales
aclinique,acliniques,aclinique,acliniques
acléidien,acléidiens,acléidienne,acléidiennes
acméiste,acméistes,acméiste,acméistes
acnodal,acnodaux,acnodale,acnodales
acnéique,acnéiques,acnéique,acnéiques
aconitique,aconitiques,aconitique,aconitiques
acosmique,acosmiques,acosmique,acosmiques
acotylé,acotylés,acotylée,acotylées
acotylédone,acotylédones,acotylédone,acotylédones
acotylédoné,acotylédonés,acotylédonée,acotylédonées
acoumétrique,acoumétriques,acoumétrique,acoumétriques
acousmatique,acousmatiques,acousmatique,acousmatiques
acoustique,acoustiques,acoustique,acoustiques
acquis,acquis,acquise,acquises
acquisitif,acquisitifs,acquisitive,acquisitives
acquittable,acquittables,acquittable,acquittables
acquitté,acquittés,acquittée,acquittées
acraspède,acraspèdes,acraspède,acraspèdes
acridien,acridiens,acridienne,acridiennes
acridinique,acridiniques,acridinique,acridiniques
acrimonieux,acrimonieux,acrimonieuse,acrimonieuses
acritique,acritiques,acritique,acritiques
acroamatique,acroamatiques,acroamatique,acroamatiques
acroatique,acroatiques,acroatique,acroatiques
acrobatique,acrobatiques,acrobatique,acrobatiques
acrocarpe,acrocarpes,acrocarpe,acrocarpes
acrocentrique,acrocentriques,acrocentrique,acrocentriques
acrocéphale,acrocéphales,acrocéphale,acrocéphales
acrocéphalique,acrocéphaliques,acrocéphalique,acrocéphaliques
acrodonte,acrodontes,acrodonte,acrodontes
acrofacial,acrofaciaux,acrofaciale,acrofaciales
acrolithe,acrolithes,acrolithe,acrolithes
acromial,acromiaux,acromiale,acromiales
acromégale,acromégales,acromégale,acromégales
acromégalique,acromégaliques,acromégalique,acromégaliques
acromésomélique,acromésoméliques,acromésomélique,acromésoméliques
acronal,acronaux,acronale,acronales
acronymique,acronymiques,acronymique,acronymiques
acropète,acropètes,acropète,acropètes
acrostiche,acrostiches,acrostiche,acrostiches
acrotone,acrotones,acrotone,acrotones
acrylique,acryliques,acrylique,acryliques
actanciel,actanciels,actancielle,actancielles
actantiel,actantiels,actantielle,actantielles
actiaque,actiaques,actiaque,actiaques
actif,actifs,active,actives
