MOT;PLURIEL;FÉMININ;FEMININ_PLURIEL
académicien;académiciens;académicienne;académiciennes
académie;académies;;
académisation;académisations;;
académisme;académismes;;
académiste;académistes;;
acajou;acajous;;
acajuba;acajubas;;
acalèphe;acalèphes;;
acanthacée;acanthacées;;
acanthaire;acanthaires;;
acanthe;acanthes;;
acap;acaps;;
acapnie;acapnies;;
acare;acares;;
acariase;acariases;;
acaride;acarides;;
acarien;acariens;;
acariose;acarioses;;
acariâtreté;acariâtretés;;
acarnanien;acarnaniens;acarnanienne;acarnaniennes
acarne;acarnes;;
acarophobie;acarophobies;;
acarus;;;
acatalecte;acatalectes;;
acatalectique;acatalectiques;;
acatalepsie;acatalepsies;;
acathisie;acathisies;;
accablant;accablants;accablante;accablantes
accablement;accablements;;
accablé;accablés;accablée;accablées
accaciature;accaciatures;;
accadien;accadiens;accadienne;accadiennes
accalmie;accalmies;;
accalmée;accalmées;;
accaparation;accaparations;;
accaparement;accaparements;;
accapareur;accapareurs;accapareuse;accapareuses
accastillage;accastillages;;
accense;accenses;;
accensement;accensements;;
accenseur;accenseurs;;
accent;accents;;
accenteur;accenteurs;;
accentuation;accentuations;;
accentueur;accentueurs;;
acceptabilité;acceptabilités;;
acceptant;acceptants;acceptante;acceptantes
acceptation;acceptations;;
accepteur;accepteurs;accepteuse;accepteuses
acceptilation;acceptilations;;
acception;acceptions;;
accesseur;accesseurs;;
accessibilité;accessibilités;;
accession;accessions;;
accessit;accessits;;
accessoire;accessoires;;
accessoiriste;accessoiristes;;
accide;accides;;
accidence;accidences;;
accident;accidents;;
accidentalité;accidentalités;;
accidentel;accidentels;;
accidentier;accidentiers;;
accidenté;accidentés;accidentée;accidentées
accipitre;accipitres;;
accipitrin;accipitrins;accipitrine;accipitrines
accise;accises;;
accisien;accisiens;;
accitain;accitains;accitaine;accitaines
accitanien;accitaniens;accitanienne;accitaniennes
acclamateur;acclamateurs;acclamatrice;acclamatrices
acclamation;acclamations;;
acclimatation;acclimatations;;
acclimatement;acclimatements;;
acclimateur;acclimateurs;;
accointance;accointances;;
accointe;accointes;;
accointement;accointements;;
accoisement;accoisements;;
accolade;accolades;;
accolage;accolages;;
accolement;accolements;;
accolerie;accoleries;;
accolure;accolures;;
accolée;accolées;;
accommodage;accommodages;;
accommodant;accommodants;accommodante;accommodantes
accommodat;accommodats;;
accommodation;accommodations;;
accommodement;accommodements;;
accommodeur;accommodeurs;accommodeuse;accommodeuses
accompagnage;accompagnages;;
accompagnateur;accompagnateurs;accompagnatrice;accompagnatrices
accompagnement;accompagnements;;
accompagneresse;accompagneresses;;
accomplissement;accomplissements;;
accomplisseur;accomplisseurs;;
accon;accons;;
acconage;acconages;;
acconier;acconiers;acconière;acconière
accorage;accorages;;
accord;accords;;
accordage;accordages;;
accordailles;;;
accordance;accordances;;
accordant;accordants;;
accordement;accordements;;
accordeur;accordeurs;accordeuse;accordeuse
accordo;accordos;;
accordoir;accordoirs;;
accordé;accordés;accordée;accordées
accordéon;accordéons;;
accordéoniste;accordéonistes;;
accore;accores;;
accortise;accortises;;
accostage;accostages;;
accoste;accostes;;
accot;accots;;
accotar;accotars;;
accotement;accotements;;
accotoir;accotoirs;;
accouchante;accouchantes;;
accouchement;accouchements;;
accoucheur;accoucheurs;accoucheuse;accoucheuses
accouchée;accouchées;;
accoudement;accoudements;;
accoudoir;accoudoirs;;
accouplage;accouplages;;
accouple;accouples;;
accouplement;accouplements;;
accoupleur;accoupleurs;accoupleuse;accoupleuses
accourci;accourcis;;
accourcie;accourcies;;
accourcissement;accourcissements;;
accoures;;;
accourse;accourses;;
accoutrement;accoutrements;;
accoutreur;accoutreurs;;
accoutumance;accoutumances;;
accra;accras;;
accroc;accrocs;;
accrochage;accrochages;;
accroche;accroches;;
accrochement;accrochements;;
accrocheur;accrocheurs;accrocheuse;accrocheuses
accroissance;accroissances;;
accroissement;accroissements;;
accroupissement;accroupissements;;
accroît;accroîts;;
accroïde;accroïdes;;
accru;accrus;accrue;accrues
accréditement;accréditements;;
accréditif;accréditifs;;
accrédité;accrédités;accréditée;accréditées
accrémentition;accrémentitions;;
accrétion;accrétions;;
accubiteur;accubiteurs;;
accueil;accueils;;
accueillage;accueillages;;
accueillance;accueillances;;
accueillement;accueillements;;
accul;acculs;;
acculement;acculements;;
acculturation;acculturations;;
acculée;acculées;;
accumulat;accumulats;;
accumulateur;accumulateurs;accumulatrice;accumulatrices
