affalé,affalés,affalée,affalées
affamé,affamés,affamée,affamées
affectionné,affectionnés,affectionnée,affectionnées
affecté,affectés,affectée,affectées
affené,affenés,affenée,affenées
affermi,affermis,affermie,affermies
affermé,affermés,affermée,affermées
affiché,affichés,affichée,affichées
affidé,affidés,affidée,affidées
affilié,affiliés,affiliée,affiliées
affilé,affilés,affilée,affilées
affiné,affinés,affinée,affinées
affiqué,affiqués,affiquée,affiquées
affirmé,affirmés,affirmée,affirmées
affistolé,affistolés,affistolée,affistolées
affixé,affixés,affixée,affixées
affleuré,,,
affligé,affligés,affligée,affligées
affloué,affloués,afflouée,afflouées
afflué,,,
affléché,affléchés,affléchée,affléchées
affoli,affolis,affolie,affolies
affolé,affolés,affolée,affolées
afforesté,afforestés,afforestée,afforestées
affouagé,affouagés,affouagée,affouagées
affouillé,affouillés,affouillée,affouillées
affouragé,affouragés,affouragée,affouragées
affourché,affourchés,affourchée,affourchées
affourragé,affourragés,affourragée,affourragées
affoué,affoués,affouée,affouées
affranchi,affranchis,affranchie,affranchies
affraîchi,affraîchis,affraîchie,affraîchies
affriandé,affriandés,affriandée,affriandées
affriché,affrichés,affrichée,affrichées
affriolé,affriolés,affriolée,affriolées
affriqué,affriqués,affriquée,affriquées
affrité,affrités,affritée,affritées
affronté,affrontés,affrontée,affrontées
affruité,affruités,affruitée,affruitées
affrété,affrétés,affrétée,affrétées
affublé,affublés,affublée,affublées
affuré,affurés,affurée,affurées
afféagé,afféagés,afféagée,afféagées
afféré,afférés,afférée,afférées
affûté,affûtés,affûtée,affûtées
afistolé,afistolés,afistolée,afistolées
africanisé,africanisés,africanisée,africanisées
agacé,agacés,agacée,agacées
agaillardi,agaillardis,agaillardie,agaillardies
agatifié,agatifiés,agatifiée,agatifiées
agatisé,agatisés,agatisée,agatisées
agencé,agencés,agencée,agencées
agenouillé,agenouillés,agenouillée,agenouillées
aggloméré,agglomérés,agglomérée,agglomérées
agglutiné,agglutinés,agglutinée,agglutinées
aggravé,aggravés,aggravée,aggravées
agi,agis,agie,agies
agioté,,,
agité,agités,agitée,agitées
agnelé,agnelés,agnelée,agnelées
agoni,agonis,agonie,agonies
agonisé,,,
agourmandé,agourmandés,agourmandée,agourmandées
agrafé,agrafés,agrafée,agrafées
agrainé,agrainés,agrainée,agrainées
agrandi,agrandis,agrandie,agrandies
agrené,agrenés,agrenée,agrenées
agressé,agressés,agressée,agressées
agriché,agrichés,agrichée,agrichées
agriffé,agriffés,agriffée,agriffées
agrippé,agrippés,agrippée,agrippées
agroupé,agroupés,agroupée,agroupées
agrégé,agrégés,agrégée,agrégées
agrémenté,agrémentés,agrémentée,agrémentées
agréé,agréés,agréée,agréées
aguerri,aguerris,aguerrie,aguerries
aguetté,aguettés,aguettée,aguettées
aguiché,aguichés,aguichée,aguichées
ahané,ahanés,ahanée,ahanées
aheurté,aheurtés,aheurtée,aheurtées
ahuri,ahuris,ahurie,ahuries
aiché,aichés,aichée,aichées
aidé,aidés,aidée,aidées
aigretté,aigrettés,aigrettée,aigrettées
aigri,aigris,aigrie,aigries
aiguayé,aiguayés,aiguayée,aiguayées
aiguilleté,aiguilletés,aiguilletée,aiguilletées
aiguillonné,aiguillonnés,aiguillonnée,aiguillonnées
aiguillé,aiguillés,aiguillée,aiguillées
aiguisé,aiguisés,aiguisée,aiguisées
aigué,aigués,aiguée,aiguées
aillolisé,aillolisés,aillolisée,aillolisées
aillé,aillés,aillée,aillées
ailé,ailés,ailée,ailées
aimanté,aimantés,aimantée,aimantées
aimé,aimés,aimée,aimées
airé,,,
ajointé,ajointés,ajointée,ajointées
ajourné,ajournés,ajournée,ajournées
ajouré,ajourés,ajourée,ajourées
ajouté,ajoutés,ajoutée,ajoutées
ajusté,ajustés,ajustée,ajustées
ajuté,ajutés,ajutée,ajutées
alambiqué,alambiqués,alambiquée,alambiquées
alangui,alanguis,alanguie,alanguies
alargué,alargués,alarguée,alarguées
alarmé,alarmés,alarmée,alarmées
alcalinisé,alcalinisés,alcalinisée,alcalinisées
alcalisé,alcalisés,alcalisée,alcalisées
alcoolifié,alcoolifiés,alcoolifiée,alcoolifiées
alcoolisé,alcoolisés,alcoolisée,alcoolisées
alcoolysé,alcoolysés,alcoolysée,alcoolysées
alcoylé,alcoylés,alcoylée,alcoylées
aldolisé,aldolisés,aldolisée,aldolisées
alenti,alentis,alentie,alenties
alerté,alertés,alertée,alertées
alesti,alestis,alestie,alesties
alesté,alestés,alestée,alestées
aleviné,alevinés,alevinée,alevinées
algorithmisé,algorithmisés,algorithmisée,algorithmisées
algébrisé,algébrisés,algébrisée,algébrisées
algérianisé,algérianisés,algérianisée,algérianisées
aligné,alignés,alignée,alignées
alimenté,alimentés,alimentée,alimentées
alingé,alingés,alingée,alingées
alinéatisé,alinéatisés,alinéatisée,alinéatisées
alinéaté,alinéatés,alinéatée,alinéatées
alité,alités,alitée,alitées
aliéné,aliénés,aliénée,aliénées
alkylé,alkylés,alkylée,alkylées
allaité,allaités,allaitée,allaitées
allectomisé,allectomisés,allectomisée,allectomisées
allitisé,allitisés,allitisée,allitisées
allitéré,allitérés,allitérée,allitérées
allivré,allivrés,allivrée,allivrées
allié,alliés,alliée,alliées
allocutionné,,,
allongé,allongés,allongée,allongées
alloti,allotis,allotie,alloties
alloté,allotés,allotée,allotées
allouvi,allouvis,allouvie,allouvies
alloué,alloués,allouée,allouées
alludé,alludés,alludée,alludées
allumé,allumés,allumée,allumées
allusionné,,,
alluvionné,alluvionnés,alluvionnée,alluvionnées
allylé,allylés,allylée,allylées
allé,allés,allée,allées
alléché,alléchés,alléchée,alléchées
allégi,allégis,allégie,allégies
allégorisé,allégorisés,allégorisée,allégorisées
allégué,allégués,alléguée,alléguées
allégé,allégés,allégée,allégées
aloté,alotés,alotée,alotées
alourdi,alourdis,alourdie,alourdies
alouvi,alouvis,alouvie,alouvies
aloyé,aloyés,aloyée,aloyées
alpagué,alpagués,alpaguée,alpaguées
alphabétisé,alphabétisés,alphabétisée,alphabétisées
alpé,alpés,alpée,alpées
alterné,alternés,alternée,alternées
altéré,altérés,altérée,altérées
aluminisé,aluminisés,aluminisée,aluminisées
aluminié,aluminiés,aluminiée,aluminiées
aluminé,aluminés,aluminée,aluminées
aluni,alunis,alunie,alunies
aluné,alunés,alunée,alunées
alvéolisé,alvéolisés,alvéolisée,alvéolisées
alvéolé,alvéolés,alvéolée,alvéolées
alâchi,alâchis,alâchie,alâchies
alésé,alésés,alésée,alésées
amabilisé,amabilisés,amabilisée,amabilisées
amadoué,amadoués,amadouée,amadouées
amaigri,amaigris,amaigrie,amaigries
amalgamé,amalgamés,amalgamée,amalgamées
amariné,amarinés,amarinée,amarinées
amarré,amarrés,amarrée,amarrées
amassé,amassés,amassée,amassées
amateloté,amatelotés,amatelotée,amatelotées
amati,amatis,amatie,amaties
ambitionné,ambitionnés,ambitionnée,ambitionnées
amblé,,,
ambré,ambrés,ambrée,ambrées
ambulé,,,
amendé,amendés,amendée,amendées
amenuisé,amenuisés,amenuisée,amenuisées
amené,amenés,amenée,amenées
amerri,amerris,amerrie,amerries
ameubli,ameublis,ameublie,ameublies
ameulonné,ameulonnés,ameulonnée,ameulonnées
ameuté,ameutés,ameutée,ameutées
amiaulé,amiaulés,amiaulée,amiaulées
amicoté,amicotés,amicotée,amicotées
amidonné,amidonnés,amidonnée,amidonnées
amignardé,amignardés,amignardée,amignardées
amignonné,amignonnés,amignonnée,amignonnées
amignotté,amignottés,amignottée,amignottées
amignoté,amignotés,amignotée,amignotées
aminci,amincis,amincie,amincies
aminé,aminés,aminée,aminées
ammoniaqué,ammoniaqués,ammoniaquée,ammoniaquées
ammonifié,ammonifiés,ammonifiée,ammonifiées
ammonisé,ammonisés,ammonisée,ammonisées
ammoxydé,ammoxydés,ammoxydée,ammoxydées
amnistié,amnistiés,amnistiée,amnistiées
amochi,amochis,amochie,amochies
amoché,amochés,amochée,amochées
amodié,amodiés,amodiée,amodiées
amoindri,amoindris,amoindrie,amoindries
amolli,amollis,amollie,amollies
amoncelé,amoncelés,amoncelée,amoncelées
amorcé,amorcés,amorcée,amorcées
amordancé,amordancés,amordancée,amordancées
amorti,amortis,amortie,amorties
amouillé,amouillés,amouillée,amouillées
amouraché,amourachés,amourachée,amourachées
amouré,amourés,amourée,amourées
amphotérisé,amphotérisés,amphotérisée,amphotérisées
amplifié,amplifiés,amplifiée,amplifiées
ampoulé,ampoulés,ampoulée,ampoulées
amputé,amputés,amputée,amputées
amunitionné,amunitionnés,amunitionnée,amunitionnées
amuré,amurés,amurée,amurées
amusé,amusés,amusée,amusées
amuï,amuïs,amuïe,amuïes
amélioré,améliorés,améliorée,améliorées
aménagé,aménagés,aménagée,aménagées
américanisé,américanisés,américanisée,américanisées
anagrammatisé,anagrammatisés,anagrammatisée,anagrammatisées
anagrammé,anagrammés,anagrammée,anagrammées
analgésié,analgésiés,analgésiée,analgésiées
analysé,analysés,analysée,analysées
anamorphosé,anamorphosés,anamorphosée,anamorphosées
anaphylactisé,anaphylactisés,anaphylactisée,anaphylactisées
anarchisé,anarchisés,anarchisée,anarchisées
anastomosé,anastomosés,anastomosée,anastomosées
anathématisé,anathématisés,anathématisée,anathématisées
anatomisé,anatomisés,anatomisée,anatomisées
anchoité,anchoités,anchoitée,anchoitées
anché,anchés,anchée,anchées
ancré,ancrés,ancrée,ancrées
anecdotisé,,,
anesthésié,anesthésiés,anesthésiée,anesthésiées
angarié,angariés,angariée,angariées
anglaisé,anglaisés,anglaisée,anglaisées
anglicisé,anglicisés,anglicisée,anglicisées
anglé,anglés,anglée,anglées
anglésé,anglésés,anglésée,anglésées
angoissé,angoissés,angoissée,angoissées
angulé,,,
angélisé,,,
anhélé,anhélés,anhélée,anhélées
animalisé,animalisés,animalisée,animalisées
animé,animés,animée,animées
anisé,anisés,anisée,anisées
ankylosé,ankylosés,ankylosée,ankylosées
annelé,annelés,annelée,annelées
annexé,annexés,annexée,annexées
annihilé,annihilés,annihilée,annihilées
annoncé,annoncés,annoncée,annoncées
annoté,annotés,annotée,annotées
annualisé,annualisés,annualisée,annualisées
annulé,annulés,annulée,annulées
anobli,anoblis,anoblie,anoblies
anodisé,anodisés,anodisée,anodisées
anonchali,anonchalis,anonchalie,anonchalies
anordi,anordis,anordie,anordies
ansé,ansés,ansée,ansées
antagonisé,antagonisés,antagonisée,antagonisées
anthropomorphisé,anthropomorphisés,anthropomorphisée,anthropomorphisées
anticipé,anticipés,anticipée,anticipées
anticoagulé,anticoagulés,anticoagulée,anticoagulées
antidaté,antidatés,antidatée,antidatées
antiparasité,antiparasités,antiparasitée,antiparasitées
antiqué,antiqués,antiquée,antiquées
antiseptisé,antiseptisés,antiseptisée,antiseptisées
antéposé,antéposés,antéposée,antéposées
antériorisé,antériorisés,antériorisée,antériorisées
anuité,anuités,anuitée,anuitées
anéanti,anéantis,anéantie,anéanties
anémié,anémiés,anémiée,anémiées
aoûté,aoûtés,aoûtée,aoûtées
apaisé,apaisés,apaisée,apaisées
apanagé,apanagés,apanagée,apanagées
apapelardi,apapelardis,apapelardie,apapelardies
aperçu,aperçus,aperçue,aperçues
apetissé,apetissés,apetissée,apetissées
apeuré,apeurés,apeurée,apeurées
apiqué,apiqués,apiquée,apiquées
apitoyé,apitoyés,apitoyée,apitoyées
apiécé,apiécés,apiécée,apiécées
aplani,aplanis,aplanie,aplanies
aplané,aplanés,aplanée,aplanées
aplati,aplatis,aplatie,aplaties
apleni,aplenis,aplenie,aplenies
apologisé,apologisés,apologisée,apologisées
apoltronni,apoltronnis,apoltronnie,apoltronnies
apoltronné,apoltronnés,apoltronnée,apoltronnées
aponté,apontés,apontée,apontées
aponévrotomisé,aponévrotomisés,aponévrotomisée,aponévrotomisées
apostasié,,,
apostillé,apostillés,apostillée,apostillées
apostrophé,apostrophés,apostrophée,apostrophées
apostumé,apostumés,apostumée,apostumées
aposté,apostés,apostée,apostées
apothéosé,apothéosés,apothéosée,apothéosées
appairé,appairés,appairée,appairées
appareillé,appareillés,appareillée,appareillées
apparenté,apparentés,apparentée,apparentées
apparié,appariés,appariée,appariées
appartenu,appartenus,appartenue,appartenues
apparu,apparus,apparue,apparues
appauvri,appauvris,appauvrie,appauvries
appeauté,appeautés,appeautée,appeautées
appelé,appelés,appelée,appelées
appendu,appendus,appendue,appendues
appertisé,appertisés,appertisée,appertisées
appesanti,appesantis,appesantie,appesanties
applaudi,applaudis,applaudie,applaudies
appliqué,appliqués,appliquée,appliquées
appointi,appointis,appointie,appointies
appointé,appointés,appointée,appointées
appoltronni,appoltronnis,appoltronnie,appoltronnies
appoltronné,appoltronnés,appoltronnée,appoltronnées
apponté,appontés,appontée,appontées
apporté,apportés,apportée,apportées
apposé,apposés,apposée,apposées
appris,appris,apprise,apprises
apprivoisé,apprivoisés,apprivoisée,apprivoisées
approché,approchés,approchée,approchées
approfondi,approfondis,approfondie,approfondies
approprié,appropriés,appropriée,appropriées
approuvé,approuvés,approuvée,approuvées
approvisionné,approvisionnés,approvisionnée,approvisionnées
approximé,approximés,approximée,approximées
apprécié,appréciés,appréciée,appréciées
appréhendé,appréhendés,appréhendée,appréhendées
apprêté,apprêtés,apprêtée,apprêtées
appuyé,appuyés,appuyée,appuyées
appâli,appâlis,appâlie,appâlies
appâté,appâtés,appâtée,appâtées
appété,appétés,appétée,appétées
apuré,apurés,apurée,apurées
apâli,apâlis,apâlie,apâlies
apérité,apérités,apéritée,apéritées
aquarellé,aquarellés,aquarellée,aquarellées
aquati,aquatis,aquatie,aquaties
arabisé,arabisés,arabisée,arabisées
aramé,aramés,aramée,aramées
araméisé,araméisés,araméisée,araméisées
arasé,arasés,arasée,arasées
arbitragé,arbitragés,arbitragée,arbitragées
arbitré,arbitrés,arbitrée,arbitrées
arborisé,arborisés,arborisée,arborisées
arboré,arborés,arborée,arborées
archaïsé,,,
architecturé,architecturés,architecturée,architecturées
archivé,archivés,archivée,archivées
ardoisé,ardoisés,ardoisée,ardoisées
argenté,argentés,argentée,argentées
argotisé,argotisés,argotisée,argotisées
argoté,argotés,argotée,argotées
argumenté,argumentés,argumentée,argumentées
argué,,,
arianisé,arianisés,arianisée,arianisées
arimé,arimés,arimée,arimées
aristocratisé,aristocratisés,aristocratisée,aristocratisées
aristotélisé,aristotélisés,aristotélisée,aristotélisées
arisé,arisés,arisée,arisées
arithmétisé,arithmétisés,arithmétisée,arithmétisées
arlequiné,arlequinés,arlequinée,arlequinées
