MOT;PLURIEL;FÉMININ;FEMININ_PLURIEL
accessoiriste;accessoiristes;;accidentels
accidentel;accidentels;accidentelle;accidentelles
accidenté;accidentés;accidentée;accidentées
accipitrin;accipitrins;accipitrine;accipitrines
accitain;accitains;accitaine;accitaines
accitanien;accitaniens;accitanienne;accitaniennes
acclamant;acclamants;acclamante;acclamantes
acclamateur;acclamateurs;acclamatrice;acclamatrices
acclimatable;acclimatables;;accointables
accointable;accointables;;accombants
accombant;accombants;accombante;accombantes
accommodable;accommodables;;accommodants
accommodant;accommodants;accommodante;accommodantes
accommodateur;accommodateurs;accommodatrice;accommodatrices
accommodatice;accommodatices;;accommodatifs
accommodatif;accommodatifs;accommodative;accommodatives
accommodé;accommodés;accommodée;accommodées
accompagnant;accompagnants;accompagnante;accompagnantes
accompagnateur;accompagnateurs;accompagnatrice;accompagnatrices
accompagné;accompagnés;accompagnée;accompagnées
accompli;accomplis;accomplie;accomplies
accordable;accordables;;accordants
accordant;accordants;accordante;accordantes
accore;accores;;accornés
accorné;accornés;accornée;accornées
accort;accorts;accorte;accortes
accostable;accostables;;accostants
accostant;accostants;accostante;accostantes
accosté;accostés;accostée;accostées
accoté;accotés;accotée;accotées
accoucheur;accoucheurs;accoucheuse;accoucheuses
accoudé;accoudés;accoudée;accoudées
accouplé;accouplés;accouplée;accouplées
accourci;accourcis;accourcie;accourcies
accoutumé;accoutumés;accoutumée;accoutumées
accouvi;accouvis;accouvie;accouvies
accouvillonné;accouvillonnés;accouvillonnée;accouvillonnées
accouvé;accouvés;accouvée;accouvées
accrescent;accrescents;accrescente;accrescentes
accrochable;accrochables;;accrocheurs
accrocheur;accrocheurs;accrocheuse;accrocheuses
accroupi;accroupis;accroupie;accroupies
accroïde;accroïdes;;accréditifs
accréditif;accréditifs;accréditive;accréditives
accrédité;accrédités;accréditée;accréditées
accrémentitiel;accrémentitiels;accrémentitielle;accrémentitielles
accrêté;accrêtés;accrêtée;accrêtées
accueillant;accueillants;accueillante;accueillantes
acculturatif;acculturatifs;acculturative;acculturatives
acculé;acculés;acculée;acculées
accumulateur;accumulateurs;accumulatrice;accumulatrices
accumulatif;accumulatifs;accumulative;accumulatives
accurvé;accurvés;accurvée;accurvées
accusable;accusables;;accusataires
accusataire;accusataires;;accusateurs
accusateur;accusateurs;accusatrice;accusatrices
accusatif;accusatifs;accusative;accusatives
accusatoire;accusatoires;;accélérants
accélérant;accélérants;accélérante;accélérantes
accélérateur;accélérateurs;accélératrice;accélératrices
accélératif;accélératifs;accélérative;accélératives
accéléré;accélérés;accélérée;accélérées
acellulaire;acellulaires;;acentriques
acentrique;acentriques;;acerbes
acerbe;acerbes;;acersocomes
acersocome;acersocomes;;acersécomes
acersécome;acersécomes;;acertainés
acertainé;acertainés;acertainée;acertainées
acescent;acescents;acescente;acescentes
achalandé;achalandés;achalandée;achalandées
achalant;achalants;achalante;achalantes
acharné;acharnés;acharnée;acharnées
achaudi;achaudis;achaudie;achaudies
acheminé;acheminés;acheminée;acheminées
achenillé;achenillés;achenillée;achenillées
achetable;achetables;;acheteurs
acheteur;acheteurs;acheteuse;acheteuses
acheuléen;acheuléens;acheuléenne;acheuléennes
achevable;achevables;;achevants
achevant;achevants;achevante;achevantes
achevé;achevés;achevée;achevées
achilléen;achilléens;achilléenne;achilléennes
achilléoïde;achilléoïdes;;achlorurés
achloruré;achlorurés;achlorurée;achlorurées
acholique;acholiques;;achondroplases
achondroplase;achondroplases;;achromatiques
achromatique;achromatiques;;achromatisés
achromatisé;achromatisés;achromatisée;achromatisées
achromatope;achromatopes;;achromatopsiques
achromatopsique;achromatopsiques;;achromes
achrome;achromes;;achromiques
achromique;achromiques;;achroniques
achronique;achroniques;;achronizoïques
achronizoïque;achronizoïques;;achéens
achéen;achéens;achéenne;achéennes
achéménide;achéménides;;acicoles
acicole;acicoles;;aciculaires
aciculaire;aciculaires;;aciculiformes
aciculiforme;aciculiformes;;aciculés
aciculé;aciculés;aciculée;aciculées
acide;acides;;acidifiables
acidifiable;acidifiables;;acidifiants
acidifiant;acidifiants;acidifiante;acidifiantes
acidifié;acidifiés;acidifiée;acidifiées
acidifère;acidifères;;acidimétriques
acidimétrique;acidimétriques;;acidosiques
acidosique;acidosiques;;acidotes
acidote;acidotes;;acidoïdes
acidoïde;acidoïdes;;acidules
acidule;acidules;;acidulés
acidulé;acidulés;acidulée;acidulées
acidylé;acidylés;acidylée;acidylées
aciforme;aciformes;;acinacifoliés
acinacifolié;acinacifoliés;acinacifoliée;acinacifoliées
acinaciforme;acinaciformes;;acinacés
acinacé;acinacés;acinacée;acinacées
acinaire;acinaires;;acineuse
acineux;acineuse;acineuses;
acinien;aciniens;acinienne;aciniennes
aciniforme;aciniformes;;acinodendres
acinodendre;acinodendres;;aciéreuse
aciéreux;aciéreuse;aciéreuses;
aciéré;aciérés;aciérée;aciérées
acmastique;acmastiques;;acnéiformes
acnéiforme;acnéiformes;;acnéiques
acnéique;acnéiques;;aconitiques
aconitique;aconitiques;;acoquinants
acoquinant;acoquinants;acoquinante;acoquinantes
acoriné;acorinés;acorinée;acorinées
acosmique;acosmiques;;acotylédons
acotylédon;acotylédons;acotylédone;acotylédones
acotylédoné;acotylédonés;acotylédonée;acotylédonées
acousmatique;acousmatiques;;acoustiques
acoustique;acoustiques;;acquiesçants
acquiesçant;acquiesçants;acquiesçante;acquiesçantes
acquis;acquise;acquises;
acquisitif;acquisitifs;acquisitive;acquisitives
acquittable;acquittables;;acquittés
acquitté;acquittés;acquittée;acquittées
acquérant;acquérants;acquérante;acquérantes
acrididé;acrididés;acrididée;acrididées
acridien;acridiens;acridienne;acridiennes
acridinique;acridiniques;;acridophages
acridophage;acridophages;;acridés
acridé;acridés;acridée;acridées
acrimonieux;acrimonieuse;acrimonieuses;
acritique;acritiques;;acrobatiques
acrobatique;acrobatiques;;acrocarpes
acrocarpe;acrocarpes;;acrocérauniens
acrocéraunien;acrocérauniens;acrocéraunienne;acrocérauniennes
acrodonte;acrodontes;;acrogènes
acrogène;acrogènes;;acromiaux
acromial;acromiaux;acromiale;acromiales
acromien;acromiens;acromienne;acromiennes
acromégale;acromégales;;acromégaliques
acromégalique;acromégaliques;;acromégaloïdes
acromégaloïde;acromégaloïdes;;acronyques
acronyque;acronyques;;acropoliens
acropolien;acropoliens;acropolienne;acropoliennes
acropolite;acropolites;;acrostiches
acrostiche;acrostiches;;acryliques
acrylique;acryliques;;actiaques
actiaque;actiaques;;actiens
actien;actiens;actienne;actiennes
actif;actifs;active;actives
actiniaire;actiniaires;;actiniformes
actiniforme;actiniformes;;actinifères
actinifère;actinifères;;actiniques
actinique;actiniques;;actinomorphes
actinomorphe;actinomorphes;;actinométriques
actinométrique;actinométriques;;actinoteuse
actinoteux;actinoteuse;actinoteuses;
actinotique;actinotiques;;actionnels
actionnel;actionnels;actionnelle;actionnelles
actionné;actionnés;actionnée;actionnées
activant;activants;activante;activantes
activateur;activateurs;activatrice;activatrices
activiste;activistes;;actualisables
actualisable;actualisables;;actualisants
actualisant;actualisants;actualisante;actualisantes
actualisateur;actualisateurs;actualisatrice;actualisatrices
actuariel;actuariels;actuarielle;actuarielles
actuel;actuels;actuelle;actuelles
acuminant;acuminants;acuminante;acuminantes
acumineux;acumineuse;acumineuses;
acuminifolié;acuminifoliés;acuminifoliée;acuminifoliées
acuminifère;acuminifères;;acuminés
acuminé;acuminés;acuminée;acuminées
acunhien;acunhiens;acunhienne;acunhiennes
acut;acuts;acute;acutes
acutangle;acutangles;;acutangulaires
acutangulaire;acutangulaires;;acutangulés
acutangulé;acutangulés;acutangulée;acutangulées
acyclique;acycliques;;acylés
acylé;acylés;acylée;acylées
acytoplasmique;acytoplasmiques;;acéphales
acéphale;acéphales;;acéphaliens
acéphalien;acéphaliens;acéphalienne;acéphaliennes
acéphalé;acéphalés;acéphalée;acéphalées
acéracé;acéracés;acéracée;acéracées
acérain;acérains;acéraine;acéraines
acéreux;acéreuse;acéreuses;
acérin;acérins;acérine;acérines
acériné;acérinés;acérinée;acérinées
acérique;acériques;;acérés
acéré;acérés;acérée;acérées
acétabulaire;acétabulaires;;acétabulariés
acétabularié;acétabulariés;acétabulariée;acétabulariées
acétabuleux;acétabuleuse;acétabuleuses;
acétabuliforme;acétabuliformes;;acétabulés
acétabulé;acétabulés;acétabulée;acétabulées
acéteux;acéteuse;acéteuses;
acétique;acétiques;;acétyléniques
acétylénique;acétyléniques;;acétés
acété;acétés;acétée;acétées
adamantin;adamantins;adamantine;adamantines
adamantinien;adamantiniens;adamantinienne;adamantiniennes
adambulacraire;adambulacraires;;adamiens
adamien;adamiens;adamienne;adamiennes
adamique;adamiques;;adamites
adamite;adamites;;adaptables
adaptable;adaptables;;adaptateurs
adaptateur;adaptateurs;adaptatrice;adaptatrices
adaptatif;adaptatifs;adaptative;adaptatives
adaptif;adaptifs;adaptive;adaptives
adapté;adaptés;adaptée;adaptées
addisonien;addisoniennes;addisonien;addisoniens
addisonnien;addisonniennes;addisonnien;addisonniens
additif;additifs;additive;additives
additionnel;additionnels;additionnelle;additionnelles
adducteur;adducteurs;adductrice;adductrices
adductif;adductifs;adductive;adductives
adelaisi;adelaisis;;adelaizis
adelaizi;adelaizis;;adelphes
adelphe;adelphes;;adendritiques
adendritique;adendritiques;;adeptes
adepte;adeptes;;adextres
adextre;adextres;;adextrés
adextré;adextrés;adextrée;adextrées
adhérent;adhérents;adhérente;adhérentes
adhésif;adhésifs;adhésive;adhésives
adiabatique;adiabatiques;;adialectiques
adialectique;adialectiques;;adiantacés
adiantacé;adiantacés;adiantacée;adiantacées
adiantidé;adiantidés;adiantidée;adiantidées
adiantifolié;adiantifoliés;adiantifoliée;adiantifoliées
adiaphore;adiaphores;;adiathermanes
adiathermane;adiathermanes;;adipeuse
adipeux;adipeuse;adipeuses;
adipique;adipiques;;adjacents
adjacent;adjacents;adjacente;adjacentes
adjectif;adjectifs;adjective;adjectives
adjectivable;adjectivables;;adjectivaux
adjectival;adjectivaux;adjectivale;adjectivales
adjoint;adjoints;adjointe;adjointes
adjonctif;adjonctifs;adjonctive;adjonctives
adjudicataire;adjudicataires;;adjudicatifs
adjudicatif;adjudicatifs;adjudicative;adjudicatives
adjugé;adjugés;adjugée;adjugées
adjutatoire;adjutatoires;;adlaisis
adlaisi;adlaisis;;adlériens
adlérien;adlériens;adlérienne;adlériennes
administrant;administrants;administrante;administrantes
administrateur;administrateurs;administratrice;administratrices
administratif;administratifs;administrative;administratives
administré;administrés;administrée;administrées
admirable;admirables;;admirants
admirant;admirants;admirante;admirantes
admirateur;admirateurs;admiratrice;admiratrices
admiratif;admiratifs;admirative;admiratives
admiromane;admiromanes;;admise
admis;admise;admises;
admissible;admissibles;;admonestés
admonesté;admonestés;admonestée;admonestées
admonitif;admonitifs;admonitive;admonitives
admonété;admonétés;admonétée;admonétées
